fiscal_period_end,total_equity,total_debt,cash_and_equivalents,revenue,gross_profit,operating_income,ebit,net_income,shares_outstanding,revenue_ttm,gross_profit_ttm,operating_income_ttm,ebit_ttm,net_income_ttm,ticker
2012-03-31,68659000000.0,11938000000.0,6388000000.0,55664000000.0,42297000000.0,21571000000.0,21571000000.0,17470000000.0,8400000000.0,76317000000.0,98393000000.0,27745000000.0,27745000000.0,23990000000.0,MSFT
2012-06-30,66363000000.0,11944000000.0,6938000000.0,-37570000000.0,-28541000000.0,-22208000000.0,-22208000000.0,-18592000000.0,8381000000.0,73723000000.0,56193000000.0,21763000000.0,21763000000.0,16978000000.0,MSFT
2012-09-30,68836000000.0,11950000000.0,5036000000.0,16008000000.0,11840000000.0,5308000000.0,5308000000.0,4466000000.0,8422000000.0,72359000000.0,54438000000.0,19868000000.0,19868000000.0,15706000000.0,MSFT
2012-12-31,72576000000.0,14188000000.0,6017000000.0,37464000000.0,27604000000.0,13079000000.0,13079000000.0,10843000000.0,8374000000.0,71566000000.0,53200000000.0,17750000000.0,17750000000.0,14187000000.0,MSFT
2013-03-31,76688000000.0,14195000000.0,5240000000.0,57953000000.0,43306000000.0,20691000000.0,20691000000.0,16898000000.0,8349000000.0,73855000000.0,54209000000.0,16870000000.0,16870000000.0,13615000000.0,MSFT
2013-06-30,78944000000.0,15600000000.0,3804000000.0,-33576000000.0,-25150000000.0,-12314000000.0,-12314000000.0,-10344000000.0,8328000000.0,77849000000.0,57600000000.0,26764000000.0,26764000000.0,21863000000.0,MSFT
2013-09-30,81641000000.0,14632000000.0,4023000000.0,18529000000.0,13415000000.0,6334000000.0,6334000000.0,5244000000.0,8346000000.0,80370000000.0,59175000000.0,27790000000.0,27790000000.0,22641000000.0,MSFT
2013-12-31,85100000000.0,22676000000.0,10059000000.0,43048000000.0,29650000000.0,14303000000.0,14303000000.0,11802000000.0,8300000000.0,85954000000.0,61221000000.0,29014000000.0,29014000000.0,23600000000.0,MSFT
2014-03-31,87424000000.0,22679000000.0,11572000000.0,63451000000.0,44112000000.0,21277000000.0,21277000000.0,17462000000.0,8260000000.0,91452000000.0,62027000000.0,29600000000.0,29600000000.0,24164000000.0,MSFT
2014-06-30,89784000000.0,20645000000.0,8669000000.0,-38195000000.0,-27278000000.0,-14155000000.0,-14155000000.0,-12434000000.0,8239000000.0,86833000000.0,59899000000.0,27759000000.0,27759000000.0,22074000000.0,MSFT
2014-09-30,90170000000.0,20220000000.0,6302000000.0,23201000000.0,14928000000.0,5844000000.0,5844000000.0,4540000000.0,8255000000.0,91505000000.0,61412000000.0,27269000000.0,27269000000.0,21370000000.0,MSFT
2014-12-31,91879000000.0,20009000000.0,6426000000.0,49671000000.0,31262000000.0,13620000000.0,13620000000.0,10403000000.0,8218000000.0,98128000000.0,63024000000.0,26586000000.0,26586000000.0,19971000000.0,MSFT
2015-03-31,90132000000.0,30143000000.0,7414000000.0,71400000000.0,45830000000.0,20214000000.0,20214000000.0,15388000000.0,8113000000.0,106077000000.0,64742000000.0,25523000000.0,25523000000.0,17897000000.0,MSFT
2015-06-30,80083000000.0,30307000000.0,5595000000.0,-50692000000.0,-31478000000.0,-21517000000.0,-21517000000.0,-18138000000.0,8027000000.0,93580000000.0,60542000000.0,18161000000.0,18161000000.0,12193000000.0,MSFT
2015-09-30,77445000000.0,28569000000.0,5431000000.0,20379000000.0,13172000000.0,5793000000.0,5793000000.0,4620000000.0,7986000000.0,90758000000.0,58786000000.0,18110000000.0,18110000000.0,12273000000.0,MSFT
2015-12-31,76780000000.0,41429000000.0,7185000000.0,44175000000.0,27096000000.0,11819000000.0,11819000000.0,9618000000.0,7925000000.0,85262000000.0,54620000000.0,16309000000.0,16309000000.0,11488000000.0,MSFT
2016-03-31,74806000000.0,40896000000.0,7170000000.0,64706000000.0,39905000000.0,17102000000.0,17102000000.0,13676000000.0,7870000000.0,78568000000.0,48695000000.0,13197000000.0,13197000000.0,9776000000.0,MSFT
2016-06-30,71997000000.0,40783000000.0,6510000000.0,-38106000000.0,-27633000000.0,-14532000000.0,-14532000000.0,-11116000000.0,7808000000.0,91154000000.0,52540000000.0,20182000000.0,20182000000.0,16798000000.0,MSFT
2016-09-30,70372000000.0,74690000000.0,13928000000.0,21928000000.0,12609000000.0,5225000000.0,5225000000.0,4690000000.0,7784000000.0,92703000000.0,51977000000.0,19614000000.0,19614000000.0,16868000000.0,MSFT
2016-12-31,68809000000.0,59905000000.0,8468000000.0,25826000000.0,26798000000.0,11402000000.0,11402000000.0,9890000000.0,7730000000.0,74354000000.0,51679000000.0,19197000000.0,19197000000.0,17140000000.0,MSFT
2017-03-31,69729000000.0,76821000000.0,6713000000.0,23212000000.0,40828000000.0,16996000000.0,16996000000.0,14691000000.0,7723000000.0,32860000000.0,52602000000.0,19091000000.0,19091000000.0,18155000000.0,MSFT
2017-06-30,72394000000.0,77122000000.0,7663000000.0,25605000000.0,-24546000000.0,-11297000000.0,-11297000000.0,-8067000000.0,7708000000.0,96571000000.0,55689000000.0,22326000000.0,22326000000.0,21204000000.0,MSFT
2017-09-30,89647000000.0,77305000000.0,6884000000.0,24538000000.0,16260000000.0,7708000000.0,7708000000.0,6576000000.0,7720000000.0,99181000000.0,59340000000.0,24809000000.0,24809000000.0,23090000000.0,MSFT
2017-12-31,78360000000.0,76794000000.0,12859000000.0,53456000000.0,34114000000.0,16387000000.0,16387000000.0,274000000.0,7705000000.0,126811000000.0,66656000000.0,29794000000.0,29794000000.0,13474000000.0,MSFT
2018-03-31,79239000000.0,76927000000.0,9221000000.0,80275000000.0,51664000000.0,24679000000.0,24679000000.0,7698000000.0,7690000000.0,183874000000.0,77492000000.0,37477000000.0,37477000000.0,6481000000.0,MSFT
2018-06-30,82718000000.0,76240000000.0,11946000000.0,-47909000000.0,-30031000000.0,-13716000000.0,-13716000000.0,2023000000.0,7677000000.0,110360000000.0,72007000000.0,35058000000.0,35058000000.0,16571000000.0,MSFT
2018-09-30,85967000000.0,76230000000.0,15137000000.0,29084000000.0,19179000000.0,9955000000.0,9955000000.0,8824000000.0,7680000000.0,114906000000.0,74926000000.0,37305000000.0,37305000000.0,18819000000.0,MSFT
2018-12-31,92128000000.0,73169000000.0,6638000000.0,61555000000.0,39227000000.0,20213000000.0,20213000000.0,17244000000.0,7683000000.0,123005000000.0,80039000000.0,41131000000.0,41131000000.0,35789000000.0,MSFT
2019-03-31,94864000000.0,73100000000.0,11212000000.0,92126000000.0,59628000000.0,30554000000.0,30554000000.0,26053000000.0,7666000000.0,134856000000.0,88003000000.0,47006000000.0,47006000000.0,54144000000.0,MSFT
2019-06-30,102330000000.0,72178000000.0,11356000000.0,-56922000000.0,-35101000000.0,-17763000000.0,-17763000000.0,-12881000000.0,7643000000.0,125843000000.0,82933000000.0,42959000000.0,42959000000.0,39240000000.0,MSFT
2019-09-30,106061000000.0,69495000000.0,13117000000.0,33055000000.0,22649000000.0,12686000000.0,12686000000.0,10678000000.0,7634000000.0,129814000000.0,86403000000.0,45690000000.0,45690000000.0,41094000000.0,MSFT
2019-12-31,110109000000.0,69608000000.0,8864000000.0,69961000000.0,47197000000.0,26577000000.0,26577000000.0,22327000000.0,7611000000.0,138220000000.0,94373000000.0,52054000000.0,52054000000.0,46177000000.0,MSFT
2020-03-31,114501000000.0,66610000000.0,11710000000.0,104982000000.0,71243000000.0,39552000000.0,39552000000.0,33079000000.0,7590000000.0,151076000000.0,105988000000.0,61052000000.0,61052000000.0,53203000000.0,MSFT
